地区ID,地区_中文,地区_英文,人口_manpower,地区类型,地区建筑槽,本地补给,不可通行,拥有者TAG,拥有者_中文,拥有者_英文,控制者TAG,省份数,省份ID列表,胜利点城市数,胜利点合计,胜利点列表,资源,地区建筑,省份建筑,核心TAG,宣称TAG,其他历史字段,日期历史,来源州文件
1,科西嘉,Corsica,322900,town,4,0.0,no,FRA,波旁法国,Bourbon France,,3,3838 9851 11804,1,1,3838:阿雅克肖(1),,"{""air_base"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}","{""3838"": {""naval_base"": 3}}",COR;FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\1-France.txt
2,拉齐奥,Lazio,2781971,city,6,0.0,no,ITA,意大利王国,Kingdom of Italy,,7,923 6862 9794 9904 11751 11846 11882,2,41,9904:罗马(40); 11846:安齐奥(1),,"{""air_base"": 8, ""arms_factory"": 1, ""industrial_complex"": 4, ""infrastructure"": 4}","{""11751"": {""naval_base"": 5}, ""11846"": {""naval_base"": 2}, ""9904"": {""landmark_colosseum"": {""allowed"": {""has_dlc"": ""Gotterdammerung""}, ""level"": 1}}}",ITA;PAP,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""arms_factory"": 2, ""industrial_complex"": 5}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\2-Italy.txt
3,瑞士高原,Swiss Plateau,1216838,city,6,0.0,no,SWI,赫尔维蒂军政府,Helvetic Junta,,5,663 9620 11590 11604 11623,2,25,9620:伯尔尼(15); 663:苏黎世(10),,"{""air_base"": 4, ""arms_factory"": 3, ""industrial_complex"": 3, ""infrastructure"": 4}",,SWI,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\3-Swiss Plateau.txt
4,下奥地利,Lower Austria,2297983,large_city,8,0.0,no,AUS,奥地利,Austria,,10,704 732 3718 6552 6690 6723 6739 9527 11651 11666,2,40,11666:维也纳(30); 732:林茨(10),"{""oil"": 2}","{""air_base"": 6, ""arms_factory"": 3, ""industrial_complex"": 4, ""infrastructure"": 4}","{""11666"": {""landmark_hofburg_palace"": {""allowed"": {""has_dlc"": ""Gotterdammerung""}, ""level"": 1}}}",AUS,,,"{""1938.3.12"": {""claims"": [], ""controller"": ""GER"", ""cores"": [""GER""], ""other_keys"": [], ""owner"": ""GER"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}, ""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""anti_air_building"": 5}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\4-Austria.txt
5,埃姆兰-马祖伦,Ermland-Masuren,1238108,town,4,12.0,no,GER,德意志帝国,German Empire,,11,266 3351 3380 6375 6402 9327 9346 9372 9398 11245 11386,1,3,6375:阿伦施泰因(3),,"{""infrastructure"": 3}",,GER;PRE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\5-Germany.txt
6,佛兰德斯,Flanders,2947700,metropolis,10,0.0,no,BEL,利奥波德比利时,Leopoldian Belgium,,4,516 3576 6446 6560,3,36,516:布鲁塞尔(30); 6560:根特(5); 3576:科特赖克(1),"{""steel"": 4}","{""air_base"": 2, ""arms_factory"": 3, ""industrial_complex"": 4, ""infrastructure"": 3}","{""6560"": {""naval_base"": 3}}",BEL,,add_extra_state_shared_building_slots,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\6-Belgium.txt
7,荷兰,Holland,4123000,metropolis,10,0.0,no,HOL,荷兰王国,Kingdom of Netherlands,,5,68 391 3211 3314 9498,3,70,391:阿姆斯特丹(40); 3211:海牙(10); 9498:鹿特丹(20),"{""steel"": 4.0}","{""air_base"": 5, ""arms_factory"": 4, ""dockyard"": 3, ""industrial_complex"": 3, ""infrastructure"": 3}","{""3314"": {""naval_base"": 5}, ""9498"": {""naval_base"": 10}}",HOL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\7-Holland.txt
8,卢森堡,Luxembourg,294748,town,4,0.0,no,LUX,卢森堡大公国,Grand Duchy of Luxembourg,,2,6583 13375,1,5,6583:卢森堡(5),"{""steel"": 14}","{""arms_factory"": 1, ""industrial_complex"": 3, ""infrastructure"": 3}",,LUX,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\8-Luxemburg.txt
9,波希米亚,Bohemia,4492600,large_city,8,0.0,no,CZE,波希米亚王国,Kingdom of Bohemia,,14,445 494 583 3462 6418 6440 6592 9414 9421 9429 9541 9569 11542 11556,3,40,11542:布拉格(30); 6418:比尔森(5); 9569:塔博尔(5),"{""coal"": 6, ""steel"": 5}","{""air_base"": 5, ""anti_air_building"": 5, ""arms_factory"": 6, ""industrial_complex"": 1, ""infrastructure"": 4}",,CZE,,,"{""1939.3.14"": {""claims"": [], ""controller"": ""GER"", ""cores"": [], ""other_keys"": [], ""owner"": ""GER"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\9-Czechoslovakia.txt
10,华沙,Warsaw,3089000,large_city,8,7.0,no,POL,波兰,Poland,,9,402 467 524 3482 3544 6511 9400 11492 12562,2,26,3544:华沙(25); 402:谢德尔采(1),,"{""air_base"": 5, ""anti_air_building"": 2, ""arms_factory"": 6, ""industrial_complex"": 2, ""infrastructure"": 4}",,POL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\10-Poland.txt
