"国家分组TAG","国家分组_中文","城市名_中文","城市名_英文","国家ID","国家颜色","国家分组_英文","国家内序号","国家保留城市数","保留原因","同州删除城市","同州原城市数","生效日期","城市省份ID","胜利点","城市人口_原版无独立字段","人口口径","所属地区人口","所属地区ID","所属地区_中文","所属地区_英文","地区类型","地区建筑槽","本地补给","地区省份数","拥有者TAG","拥有者_中文","拥有者_英文","控制者TAG","核心TAG","宣称TAG","省份类型","地形","是否沿海","大陆","大陆ID","省份RGB","地图X","地图高度Y","地图Z","地图旋转","地图缩放","是否补给节点","补给节点等级字段","铁路经过数量","铁路最高等级","地区资源","地区建筑","本省建筑","城市特殊名_中文","城市特殊名_英文","来源州文件"
"AFA","奥萨苏丹国","奥萨","Aussa","","","Sultanate of Aussa","1","1","胜利点最高","","1","base","13240","2","","所属地区manpower","560000","908","阿法尔","Afar","rural","2","0.0","3","AFA","奥萨苏丹国","Sultanate of Aussa","","ETH;AFA","","land","mountain","false","africa","5","15,232,57","3449.04","13.01","831.00","-1.57","0.36","no","","0","0","","{""arms_factory"": 1, ""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\908-Afar.txt"
"AFG","阿富汗王国","喀布尔","Kabul","68","#55A56F","Kingdom of Afghanistan","1","8","胜利点最高；城市名匹配地区名；补给节点","","1","base","10737","5","","所属地区manpower","1976110","267","喀布尔","Kabul","town","4","0.0","5","AFG","阿富汗王国","Kingdom of Afghanistan","","AFG","","land","mountain","false","asia","6","135,12,209","3877.16","18.63","1231.00","1.57","0.50","yes","1","0","0","{""chromium"": 2, ""steel"": 2, ""tungsten"": 3}","{""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\267-Afghanistan.txt"
"AFG","阿富汗王国","赫拉特","Herat","68","#55A56F","Kingdom of Afghanistan","2","8","胜利点最高；城市名匹配地区名","","1","base","4893","1","","所属地区manpower","1001058","415","赫拉特","Herat","rural","2","0.0","6","AFG","阿富汗王国","Kingdom of Afghanistan","","AFG","","land","desert","false","middle_east","7","51,6,208","3765.32","11.75","1230.00","1.57","0.50","no","","0","0","","{""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\415-South Khorasan.txt"
"AFG","阿富汗王国","巴格兰","Baghlan","68","#55A56F","Kingdom of Afghanistan","3","8","胜利点最高","","1","base","10781","1","","所属地区manpower","925226","1005","卡塔汉","Qataghan","rural","2","0.0","5","AFG","阿富汗王国","Kingdom of Afghanistan","","AFG;TAJ","","land","mountain","false","asia","6","135,60,54","3887.96","12.08","1249.00","1.57","0.44","no","","0","0","{""chromium"": 3}","","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\1005-Qataghan.txt"
"AFG","阿富汗王国","贾拉拉巴德","Jalalabad","68","#55A56F","Kingdom of Afghanistan","4","8","人工优先：省会/知名城市；胜利点最高；最高胜利点并列2选1","","2","base","12831","1","","所属地区manpower","949599","1006","开伯尔山口","Khyber Pass","rural","2","0.0","2","AFG","阿富汗王国","Kingdom of Afghanistan","","AFG","","land","mountain","false","asia","6","177,138,67","3891.16","16.65","1215.00","1.57","0.60","no","","0","0","","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\1006-Khyber Pass.txt"
"AFG","阿富汗王国","加德兹","Gardez","68","#55A56F","Kingdom of Afghanistan","5","8","用户加回：地图补点","","2","base","5082","1","","所属地区manpower","949599","1006","开伯尔山口","Khyber Pass","rural","2","0.0","2","AFG","阿富汗王国","Kingdom of Afghanistan","","AFG","","land","mountain","false","asia","6","51,186,138","3879.12","15.56","1194.00","1.57","0.44","no","","0","0","","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\1006-Khyber Pass.txt"
"AFG","阿富汗王国","昆都士","Kunduz","68","#55A56F","Kingdom of Afghanistan","6","8","胜利点最高","","1","base","12248","1","","所属地区manpower","914775","1007","迈马纳","Maymanah","rural","2","0.0","5","AFG","阿富汗王国","Kingdom of Afghanistan","","AFG;TMS","","land","desert","false","asia","6","174,156,197","3859.78","12.38","1260.00","1.57","0.42","no","","0","0","{""steel"": 2}","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\1007-Maymanah.txt"
"AFG","阿富汗王国","坎大哈","Kandahar","68","#55A56F","Kingdom of Afghanistan","7","8","胜利点最高；城市名匹配地区名","","1","base","5064","1","","所属地区manpower","562330","1008","坎大哈","Qandahar","rural","2","0.0","5","AFG","阿富汗王国","Kingdom of Afghanistan","","AFG","","land","mountain","false","asia","6","51,168,43","3833.62","12.25","1175.00","1.57","0.52","no","","0","0","","{""infrastructure"": 1}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\1008-Qandahar.txt"
"AFG","阿富汗王国","法拉赫","Farah","68","#55A56F","Kingdom of Afghanistan","8","8","胜利点最高；城市名匹配地区名","","1","base","2017","1","","所属地区manpower","281165","1009","法拉赫","Farah","rural","2","0.0","5","AFG","阿富汗王国","Kingdom of Afghanistan","","AFG","","land","desert","false","middle_east","7","9,117,70","3783.78","10.90","1183.00","1.57","0.48","no","","0","0","{""chromium"": 7}","{""infrastructure"": 0}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\1009-Farah.txt"
"ALB","阿尔巴尼亚王国","地拉那","Tirana","87","#F4CA5B","Albanian Kingdom","1","3","胜利点最高；补给节点","都拉斯(2); 发罗拉(2); 科尔察(2)","4","base","9914","5","","所属地区manpower","493867","44","中阿尔巴尼亚","Central Albania","town","4","5.0","7","ALB","阿尔巴尼亚王国","Albanian Kingdom","","ALB","ITA","land","plains","false","europe","1","130,192,4","3117.80","10.66","1347.00","-1.57","0.20","yes","1","2","1","{""aluminium"": 1.0, ""chromium"": 1.0, ""oil"": 4.0}","{""air_base"": 3, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}","","","","D:\Steam\steamapps\common\Hearts of Iron IV\history\states\44-Albania.txt"
