武器种类,时代,成本,移动映射成本损耗/H,交战映射成本损耗/H,编制宽度,组织度,侦查（10阶段）,防御（空军防御不用设计填0即可）,装甲厚度,火控（10阶段）,电子干扰（10阶段）,电子抗性（10阶段）,燃料容量,燃料每轮消耗,对地友伤（10阶段）,对地命中（10阶段）,对地穿甲穿透（10阶段）,对地压制（10阶段）,对空命中（10阶段）,对空伤害（10阶段）,对空装甲穿透（不用设计就是0即可）,对海命中（10阶段）,对海装甲穿透（10阶段）,海洋适应性,平原适应性,城市适应性,丘陵适应性,森林适应性,丛林适应性,山地适应性,沙漠适应性,沼泽适应性,可通行冰面湖泊适应性,酷暑适应性,炎热适应性,温和适应性,严寒适应性,极寒适应性,晴朗适应性,小雨适应性,暴雨适应性,小雪适应性,暴风雪适应性,沙尘暴适应性,大雾适应性,人力占用,速度（km/h）,血量,拦截（10阶段）,隐身（10阶段）,雷达强度（10阶段）,雷达半径(km),声呐强度（10阶段）,飞行距离（km）,飞行高度（10阶段）,对地伤害（10阶段）,对地探测（10阶段）,对海伤害（10阶段）,对潜伤害（10阶段）
轻型战斗机,二战,2000,0.002,0.005,2,70.000,0.0400=0.0550=0.0700=0.0850=0.1000=0.0850=0.0700=0.0550=0.0400=0.0250,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,4,0.048,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3400=0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400=0.3400,24.0000=30.0000=60.0000=90.0000=120.0000=90.0000=60.0000=30.0000=24.0000=24.0000,0=0=0=0=0=0=0=0=0=0,0.3400=0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400=0.3400,480.0000=600.0000=1200.0000=1800.0000=2400.0000=1800.0000=1200.0000=600.0000=480.0000=480.0000,0=0=0=0=0=0=0=0=0=0,0.3400=0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400=0.3400,12.0000=15.0000=30.0000=45.0000=60.0000=45.0000=30.0000=15.0000=12.0000=12.0000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,1,500,70.000,14.4000=19.2000=28.8000=38.4000=48.0000=38.4000=28.8000=19.2000=14.4000=14.4000,0=0=0=0=0=0=0=0=0=0,0.1200=0.1400=0.1600=0.1800=0.2000=0.1800=0.1600=0.1400=0.1200=0.1000,50,0=0=0=0=0=0=0=0=0=0,500,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,80.0000=100.0000=200.0000=300.0000=400.0000=300.0000=200.0000=100.0000=80.0000=80.0000,0=0=0=0=0=0=0=0=0=0,12.0000=15.0000=30.0000=45.0000=60.0000=45.0000=30.0000=15.0000=12.0000=12.0000,0=0=0=0=0=0=0=0=0=0
重型战斗机,二战,3500,0.002,0.005,2,70.000,0.0400=0.0550=0.0700=0.0850=0.1000=0.0850=0.0700=0.0550=0.0400=0.0250,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,7,0.084,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,40.0000=50.0000=100.0000=150.0000=200.0000=150.0000=100.0000=50.0000=40.0000=40.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,240.0000=300.0000=600.0000=900.0000=1200.0000=900.0000=600.0000=300.0000=240.0000=240.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,18.0000=22.5000=45.0000=67.5000=90.0000=67.5000=45.0000=22.5000=18.0000=18.0000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,1,600,70.000,6.0000=8.0000=12.0000=16.0000=20.0000=16.0000=12.0000=8.0000=6.0000=6.0000,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0=0=0=0=0=0=0=0=0=0,500,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,80.0000=100.0000=200.0000=300.0000=400.0000=300.0000=200.0000=100.0000=80.0000=80.0000,0=0=0=0=0=0=0=0=0=0,18.0000=22.5000=45.0000=67.5000=90.0000=67.5000=45.0000=22.5000=18.0000=18.0000,0=0=0=0=0=0=0=0=0=0
早期喷气机,二战,6000,0.002,0.005,2,70.000,0.0250=0.0400=0.0550=0.0700=0.0850=0.1000=0.0850=0.0700=0.0550=0.0400,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,12,0.144,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800=0.3200=0.3200,32.0000=32.0000=64.0000=96.0000=128.0000=160.0000=128.0000=96.0000=64.0000=32.0000,0=0=0=0=0=0=0=0=0=0,0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800=0.3200=0.3200,720.0000=720.0000=1440.0000=2160.0000=2880.0000=3600.0000=2880.0000=2160.0000=1440.0000=720.0000,0=0=0=0=0=0=0=0=0=0,0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800=0.3200=0.3200,18.0000=18.0000=36.0000=54.0000=72.0000=90.0000=72.0000=54.0000=36.0000=18.0000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,1,800,70.000,15.6000=15.6000=20.8000=31.2000=41.6000=52.0000=41.6000=31.2000=20.8000=15.6000,0=0=0=0=0=0=0=0=0=0,0.1800=0.2100=0.2400=0.2700=0.3000=0.2700=0.2400=0.2100=0.1800=0.1500,60,0=0=0=0=0=0=0=0=0=0,600,2.8000=3.5000=4.2000=4.9000=5.6000=6.3000=7.0000=6.3000=5.6000=4.9000,80.0000=80.0000=160.0000=240.0000=320.0000=400.0000=320.0000=240.0000=160.0000=80.0000,0=0=0=0=0=0=0=0=0=0,18.0000=18.0000=36.0000=54.0000=72.0000=90.0000=72.0000=54.0000=36.0000=18.0000,0=0=0=0=0=0=0=0=0=0
早期喷气机,冷战,12000,0.002,0.005,2,105.000,0.0375=0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,348,4.176,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800=0.3200=0.3200,48.0000=48.0000=96.0000=144.0000=192.0000=240.0000=192.0000=144.0000=96.0000=48.0000,0=0=0=0=0=0=0=0=0=0,0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800=0.3200=0.3200,1080.0000=1080.0000=2160.0000=3240.0000=4320.0000=5400.0000=4320.0000=3240.0000=2160.0000=1080.0000,0=0=0=0=0=0=0=0=0=0,0.3200=0.3200=0.3200=0.4800=0.6400=0.8000=0.6400=0.4800=0.3200=0.3200,27.0000=27.0000=54.0000=81.0000=108.0000=135.0000=108.0000=81.0000=54.0000=27.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,1,1000,105.000,23.4000=23.4000=31.2000=46.8000=62.4000=78.0000=62.4000=46.8000=31.2000=23.4000,0=0=0=0=0=0=0=0=0=0,0.2700=0.3150=0.3600=0.4050=0.4500=0.4050=0.3600=0.3150=0.2700=0.2250,60,0=0=0=0=0=0=0=0=0=0,600,2.8000=3.5000=4.2000=4.9000=5.6000=6.3000=7.0000=6.3000=5.6000=4.9000,120.0000=120.0000=240.0000=360.0000=480.0000=600.0000=480.0000=360.0000=240.0000=120.0000,0=0=0=0=0=0=0=0=0=0,27.0000=27.0000=54.0000=81.0000=108.0000=135.0000=108.0000=81.0000=54.0000=27.0000,0=0=0=0=0=0=0=0=0=0
多用途战斗机,冷战,25000,0.002,0.005,2,105.000,0.0375=0.0600=0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1800=0.1800=0.1800=0.1800=0.1800=0.1800=0.1800=0.1800=0.1800=0.1800,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,725,8.7,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3400=0.3400=0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400,96.0000=96.0000=120.0000=240.0000=360.0000=480.0000=360.0000=240.0000=120.0000=96.0000,0=0=0=0=0=0=0=0=0=0,0.3400=0.3400=0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400,576.0000=576.0000=720.0000=1440.0000=2160.0000=2880.0000=2160.0000=1440.0000=720.0000=576.0000,0=0=0=0=0=0=0=0=0=0,0.3400=0.3400=0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400,45.0000=45.0000=56.2500=112.5000=168.7500=225.0000=168.7500=112.5000=56.2500=45.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,1,1800,105.000,18.0000=18.0000=24.0000=36.0000=48.0000=60.0000=48.0000=36.0000=24.0000=18.0000,0=0=0=0=0=0=0=0=0=0,0.3600=0.4200=0.4800=0.5400=0.6000=0.5400=0.4800=0.4200=0.3600=0.3000,80,0=0=0=0=0=0=0=0=0=0,800,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,120.0000=120.0000=150.0000=300.0000=450.0000=600.0000=450.0000=300.0000=150.0000=120.0000,0=0=0=0=0=0=0=0=0=0,45.0000=45.0000=56.2500=112.5000=168.7500=225.0000=168.7500=112.5000=56.2500=45.0000,0=0=0=0=0=0=0=0=0=0
多用途战斗机,现代,120000,0.002,0.005,2,175.000,0.0625=0.1000=0.1375=0.1750=0.2125=0.2500=0.2125=0.1750=0.1375=0.1000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,48,0.576,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3400=0.3400=0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400,160.0000=160.0000=200.0000=400.0000=600.0000=800.0000=600.0000=400.0000=200.0000=160.0000,0=0=0=0=0=0=0=0=0=0,0.3400=0.3400=0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400,960.0000=960.0000=1200.0000=2400.0000=3600.0000=4800.0000=3600.0000=2400.0000=1200.0000=960.0000,0=0=0=0=0=0=0=0=0=0,0.3400=0.3400=0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400,75.0000=75.0000=93.7500=187.5000=281.2500=375.0000=281.2500=187.5000=93.7500=75.0000,1,1,0.97,0.97,0.97,0.97,0.97,0.97,0.72,0.97,0.97,0.97,1,0.97,0.72,1,0.97,0.72,0.97,0.72,0.72,0.97,1,2200,175.000,30.0000=30.0000=40.0000=60.0000=80.0000=100.0000=80.0000=60.0000=40.0000=30.0000,0=0=0=0=0=0=0=0=0=0,0.6000=0.7000=0.8000=0.9000=1.0000=0.9000=0.8000=0.7000=0.6000=0.5000,80,0=0=0=0=0=0=0=0=0=0,800,3.0000=3.6000=4.2000=4.8000=5.4000=6.0000=5.4000=4.8000=4.2000=3.6000,200.0000=200.0000=250.0000=500.0000=750.0000=1000.0000=750.0000=500.0000=250.0000=200.0000,0=0=0=0=0=0=0=0=0=0,75.0000=75.0000=93.7500=187.5000=281.2500=375.0000=281.2500=187.5000=93.7500=75.0000,0=0=0=0=0=0=0=0=0=0
对海轰炸机,二战,4000,0.002,0.005,2,70.000,0.0400=0.0550=0.0700=0.0850=0.1000=0.0850=0.0700=0.0550=0.0400=0.0250,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800=0.0800,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,8,0.096,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,16.0000=20.0000=40.0000=60.0000=80.0000=60.0000=40.0000=20.0000=16.0000=16.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,48.0000=60.0000=120.0000=180.0000=240.0000=180.0000=120.0000=60.0000=48.0000=48.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,90.0000=112.5000=225.0000=337.5000=450.0000=337.5000=225.0000=112.5000=90.0000=90.0000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,1,400,70.000,2.4000=3.2000=4.8000=6.4000=8.0000=6.4000=4.8000=3.2000=2.4000=2.4000,0=0=0=0=0=0=0=0=0=0,0.2100=0.2450=0.2800=0.3150=0.3500=0.3150=0.2800=0.2450=0.2100=0.1750,70,0=0=0=0=0=0=0=0=0=0,800,3.0000=3.5000=4.0000=4.5000=5.0000=4.5000=4.0000=3.5000=3.0000=2.5000,80.0000=100.0000=200.0000=300.0000=400.0000=300.0000=200.0000=100.0000=80.0000=80.0000,0=0=0=0=0=0=0=0=0=0,90.0000=112.5000=225.0000=337.5000=450.0000=337.5000=225.0000=112.5000=90.0000=90.0000,0=0=0=0=0=0=0=0=0=0
对海战斗机,二战,2500,0.002,0.005,2,70.000,0.0400=0.0550=0.0700=0.0850=0.1000=0.0850=0.0700=0.0550=0.0400=0.0250,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,5,0.06,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,16.0000=16.0000=32.0000=56.0000=80.0000=56.0000=32.0000=16.0000=16.0000=16.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,288.0000=288.0000=576.0000=1008.0000=1440.0000=1008.0000=576.0000=288.0000=288.0000=288.0000,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,60.0000=60.0000=120.0000=210.0000=300.0000=210.0000=120.0000=60.0000=60.0000=60.0000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,1,550,70.000,9.6000=12.8000=19.2000=25.6000=32.0000=25.6000=19.2000=12.8000=9.6000=9.6000,0=0=0=0=0=0=0=0=0=0,0.2100=0.2450=0.2800=0.3150=0.3500=0.3150=0.2800=0.2450=0.2100=0.1750,70,0=0=0=0=0=0=0=0=0=0,400,2.8000=3.2000=3.6000=4.0000=3.6000=3.2000=2.8000=2.4000=2.0000=1.6000,80.0000=80.0000=160.0000=280.0000=400.0000=280.0000=160.0000=80.0000=80.0000=80.0000,0=0=0=0=0=0=0=0=0=0,60.0000=60.0000=120.0000=210.0000=300.0000=210.0000=120.0000=60.0000=60.0000=60.0000,0=0=0=0=0=0=0=0=0=0
强击机,二战,1800,0.002,0.005,2,70.000,0.0550=0.0700=0.0850=0.1000=0.0850=0.0700=0.0550=0.0400=0.0250=0.0200,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,36,0.432,0.009=0.022=0.058=0.099=0.144=0.18=0.162=0.126=0.081=0.04,0.3600=0.5400=0.7200=0.9000=0.7200=0.5400=0.3600=0.3600=0.3600=0.3600,120.0000=180.0000=390.0000=600.0000=390.0000=180.0000=120.0000=120.0000=120.0000=120.0000,0=0=0=0=0=0=0=0=0=0,0.3600=0.5400=0.7200=0.9000=0.7200=0.5400=0.3600=0.3600=0.3600=0.3600,96.0000=144.0000=312.0000=480.0000=312.0000=144.0000=96.0000=96.0000=96.0000=96.0000,0=0=0=0=0=0=0=0=0=0,0.3600=0.5400=0.7200=0.9000=0.7200=0.5400=0.3600=0.3600=0.3600=0.3600,18.0000=27.0000=58.5000=90.0000=58.5000=27.0000=18.0000=18.0000=18.0000=18.0000,0.97,0.97,0.91,0.91,0.91,0.91,0.91,0.91,0.66,0.91,0.91,0.91,0.97,0.91,0.66,0.97,0.91,0.66,0.91,0.66,0.66,0.91,1,450,70.000,4.8000=7.2000=9.6000=12.0000=9.6000=7.2000=4.8000=3.6000=3.6000=3.6000,0=0=0=0=0=0=0=0=0=0,0.0900=0.1050=0.1200=0.1350=0.1500=0.1350=0.1200=0.1050=0.0900=0.0750,30,0=0=0=0=0=0=0=0=0=0,500,2.4000=2.7000=3.0000=2.7000=2.4000=2.1000=1.8000=1.5000=1.2000=0.9000,200.0000=300.0000=650.0000=1000.0000=650.0000=300.0000=200.0000=200.0000=200.0000=200.0000,0=0=0=0=0=0=0=0=0=0,18.0000=27.0000=58.5000=90.0000=58.5000=27.0000=18.0000=18.0000=18.0000=18.0000,0=0=0=0=0=0=0=0=0=0
强击机,冷战,8000,0.002,0.005,2,105.000,0.0825=0.1050=0.1275=0.1500=0.1275=0.1050=0.0825=0.0600=0.0375=0.0300,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,232,2.784,0.013=0.031=0.084=0.144=0.209=0.261=0.235=0.183=0.117=0.057,0.3600=0.5400=0.7200=0.9000=0.7200=0.5400=0.3600=0.3600=0.3600=0.3600,180.0000=270.0000=585.0000=900.0000=585.0000=270.0000=180.0000=180.0000=180.0000=180.0000,0=0=0=0=0=0=0=0=0=0,0.3600=0.5400=0.7200=0.9000=0.7200=0.5400=0.3600=0.3600=0.3600=0.3600,144.0000=216.0000=468.0000=720.0000=468.0000=216.0000=144.0000=144.0000=144.0000=144.0000,0=0=0=0=0=0=0=0=0=0,0.3600=0.5400=0.7200=0.9000=0.7200=0.5400=0.3600=0.3600=0.3600=0.3600,27.0000=40.5000=87.7500=135.0000=87.7500=40.5000=27.0000=27.0000=27.0000=27.0000,0.997,0.997,0.937,0.937,0.937,0.937,0.937,0.937,0.687,0.937,0.937,0.937,0.997,0.937,0.687,0.997,0.937,0.687,0.937,0.687,0.687,0.937,1,800,105.000,7.2000=10.8000=14.4000=18.0000=14.4000=10.8000=7.2000=5.4000=5.4000=5.4000,0=0=0=0=0=0=0=0=0=0,0.1350=0.1575=0.1800=0.2025=0.2250=0.2025=0.1800=0.1575=0.1350=0.1125,30,0=0=0=0=0=0=0=0=0=0,500,2.4000=2.7000=3.0000=2.7000=2.4000=2.1000=1.8000=1.5000=1.2000=0.9000,300.0000=450.0000=975.0000=1500.0000=975.0000=450.0000=300.0000=300.0000=300.0000=300.0000,0=0=0=0=0=0=0=0=0=0,27.0000=40.5000=87.7500=135.0000=87.7500=40.5000=27.0000=27.0000=27.0000=27.0000,0=0=0=0=0=0=0=0=0=0
