武器种类,时代,成本,移动映射成本损耗/H,交战映射成本损耗/H,编制宽度,组织度,侦查（10阶段）,防御（10阶段）,装甲厚度,火控（10阶段）,电子干扰（10阶段）,电子抗性（10阶段）,燃料容量,燃料每轮消耗,对地友伤（10阶段）,对地命中（10阶段）,对地穿甲穿透（10阶段）,对地压制（10阶段）,对空命中（10阶段）,对空伤害（10阶段）,对空装甲穿透（不用设计就是0即可）,对海命中（10阶段）,对海装甲穿透（10阶段）,海洋适应性,平原适应性,城市适应性,丘陵适应性,森林适应性,丛林适应性,山地适应性,沙漠适应性,沼泽适应性,可通行冰面湖泊适应性,酷暑适应性,炎热适应性,温和适应性,严寒适应性,极寒适应性,晴朗适应性,小雨适应性,暴雨适应性,小雪适应性,暴风雪适应性,沙尘暴适应性,大雾适应性,人力占用,速度（km/h）,部队摩托化时卡车成本系数,部队非摩托化时卡车成本系数,血量,突破（10阶段）,堑壕防御,对地硬攻（10阶段）,对地软攻（10阶段）,对海伤害（10阶段）,武器定位
栓动步枪,一战,2.5,0.002,0.006,1,29.413,0.0300=0.0360=0.0420=0.0480=0.0540=0.0600=0.0540=0.0480=0.0420=0.0360,1.2600=1.5300=1.8000=1.5300=1.2600=0.9900=0.9000=0.9000=0.9000=0.9000,0.000,0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.015,0,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.4800=0.6400=0.8000=0.6400=0.4800=0.3200=0.3200=0.3200=0.3200=0.3200,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.6750=1.0125=1.3500=1.0125=0.6750=0.3375=0.2700=0.2700=0.2700=0.2700,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,0.346=0.66=0.974=1.289=1.572=1.493=1.289=0.974=0.66=0.346,0=0=0=0=0=0=0=0=0=0,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0=1.9=4.75=9.5=16.15=19=17.1=13.3=7.6=3.8,0.9,0.9,0.84,0.84,0.84,0.84,0.84,0.84,0.59,0.84,0.84,0.84,0.9,0.84,0.59,0.9,0.84,0.59,0.84,0.59,0.59,0.84,2,4,0,0,31.071,0.313,15.00,0.0675=0.1012=0.1350=0.1012=0.0675=0.0337=0.0202=0.0202=0.0202=0.0202,1.3500=2.0250=2.7000=2.0250=1.3500=0.6750=0.5400=0.5400=0.5400=0.5400,0.415=1.106=1.902=2.489=3.457=3.042=2.144=1.314=0.691=0.346,0
栓动步枪,二战,2,0.002,0.006,1,32.374,0.0500=0.0600=0.0700=0.0800=0.0900=0.1000=0.0900=0.0800=0.0700=0.0600,2.1000=2.5500=3.0000=2.5500=2.1000=1.6500=1.5000=1.5000=1.5000=1.5000,0.000,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.016,0,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.4800=0.6400=0.8000=0.6400=0.4800=0.3200=0.3200=0.3200=0.3200=0.3200,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,1.1250=1.6875=2.2500=1.6875=1.1250=0.5625=0.4500=0.4500=0.4500=0.4500,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,0.455=0.869=1.283=1.696=2.069=1.965=1.696=1.283=0.869=0.455,0=0=0=0=0=0=0=0=0=0,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0=2.3=5.75=11.5=19.55=23=20.7=16.1=9.2=4.6,0.92,0.92,0.86,0.86,0.86,0.86,0.86,0.86,0.61,0.86,0.86,0.86,0.92,0.86,0.61,0.92,0.86,0.61,0.86,0.61,0.61,0.86,2,4,0,0,33.022,0.522,25.00,0.1125=0.1688=0.2250=0.1688=0.1125=0.0563=0.0338=0.0338=0.0338=0.0338,2.2500=3.3750=4.5000=3.3750=2.2500=1.1250=0.9000=0.9000=0.9000=0.9000,0.546=1.456=2.503=3.277=4.551=4.005=2.822=1.729=0.91=0.455,0
栓动步枪,冷战,3,0.002,0.006,1,37.851,0.0750=0.0900=0.1050=0.1200=0.1350=0.1500=0.1350=0.1200=0.1050=0.0900,3.1500=3.8250=4.5000=3.8250=3.1500=2.4750=2.2500=2.2500=2.2500=2.2500,0.000,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.035,0,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.4800=0.6400=0.8000=0.6400=0.4800=0.3200=0.3200=0.3200=0.3200=0.3200,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,1.6875=2.5312=3.3750=2.5312=1.6875=0.8438=0.6750=0.6750=0.6750=0.6750,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,0.677=1.292=1.907=2.522=3.075=2.922=2.522=1.907=1.292=0.677,0=0=0=0=0=0=0=0=0=0,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0=2.7=6.75=13.5=22.95=27=24.3=18.9=10.8=5.4,0.956,0.956,0.896,0.896,0.896,0.896,0.896,0.896,0.646,0.896,0.896,0.896,0.956,0.896,0.646,0.956,0.896,0.646,0.896,0.646,0.646,0.896,2,4,0,0,36.719,0.783,37.50,0.1688=0.2531=0.3375=0.2531=0.1688=0.0844=0.0506=0.0506=0.0506=0.0506,3.3750=5.0625=6.7500=5.0625=3.3750=1.6875=1.3500=1.3500=1.3500=1.3500,0.812=2.165=3.721=4.871=6.766=5.954=4.195=2.571=1.353=0.677,0
突击步枪,二战,5,0.002,0.006,1,32.587,0.0500=0.0600=0.0700=0.0800=0.0900=0.1000=0.0900=0.0800=0.0700=0.0600,1.8150=2.3100=2.8050=3.3000=2.8050=2.3100=1.8150=1.6500=1.6500=1.6500,0.000,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.04,0,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400=0.3400=0.3400,0.0270=0.0405=0.0540=0.0675=0.0540=0.0405=0.0270=0.0203=0.0203=0.0203,0.7875=1.5750=2.3625=3.1500=2.3625=1.5750=0.7875=0.6300=0.6300=0.6300,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,0.487=0.93=1.373=1.816=2.214=2.103=1.816=1.373=0.93=0.487,0=0=0=0=0=0=0=0=0=0,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0=2.3=5.75=11.5=19.55=23=20.7=16.1=9.2=4.6,0.92,0.92,0.86,0.86,0.86,0.86,0.86,0.86,0.61,0.86,0.86,0.86,0.92,0.86,0.61,0.92,0.86,0.61,0.86,0.61,0.61,0.86,2,4,0,0,33.293,0.609,27.50,0.1125=0.2250=0.3375=0.4500=0.3375=0.2250=0.1125=0.0675=0.0675=0.0675,1.3500=2.7000=4.0500=5.4000=4.0500=2.7000=1.3500=1.0800=1.0800=1.0800,0.585=1.559=2.679=3.507=4.871=4.287=3.02=1.851=0.974=0.487,0
突击步枪,冷战,4,0.002,0.006,1,37.921,0.0750=0.0900=0.1050=0.1200=0.1350=0.1500=0.1350=0.1200=0.1050=0.0900,2.7225=3.4650=4.2075=4.9500=4.2075=3.4650=2.7225=2.4750=2.4750=2.4750,0.000,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.046,0.001,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400=0.3400=0.3400,0.0405=0.0607=0.0810=0.1013=0.0810=0.0607=0.0405=0.0304=0.0304=0.0304,1.1812=2.3625=3.5437=4.7250=3.5437=2.3625=1.1812=0.9450=0.9450=0.9450,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,0.692=1.321=1.95=2.579=3.145=2.988=2.579=1.95=1.321=0.692,0=0=0=0=0=0=0=0=0=0,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0=2.7=6.75=13.5=22.95=27=24.3=18.9=10.8=5.4,0.956,0.956,0.896,0.896,0.896,0.896,0.896,0.896,0.646,0.896,0.896,0.896,0.956,0.896,0.646,0.956,0.896,0.646,0.896,0.646,0.646,0.896,2,4,0,0,36.809,0.913,41.25,0.1688=0.3375=0.5063=0.6750=0.5063=0.3375=0.1688=0.1013=0.1013=0.1013,2.0250=4.0500=6.0750=8.1000=6.0750=4.0500=2.0250=1.6200=1.6200=1.6200,0.83=2.214=3.806=4.982=6.92=6.089=4.29=2.629=1.384=0.692,0
突击步枪,现代,8,0.002,0.006,1,44.762,0.1250=0.1500=0.1750=0.2000=0.2250=0.2500=0.2250=0.2000=0.1750=0.1500,4.5375=5.7750=7.0125=8.2500=7.0125=5.7750=4.5375=4.1250=4.1250=4.1250,0.000,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.128,0.002,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3400=0.5100=0.6800=0.8500=0.6800=0.5100=0.3400=0.3400=0.3400=0.3400,0.0675=0.1012=0.1350=0.1687=0.1350=0.1012=0.0675=0.0506=0.0506=0.0506,1.9687=3.9375=5.9062=7.8750=5.9062=3.9375=1.9687=1.5750=1.5750=1.5750,0.022=0.041=0.061=0.08=0.098=0.093=0.08=0.061=0.041=0.022,1.026=1.96=2.893=3.826=4.666=4.433=3.826=2.893=1.96=1.026,0=0=0=0=0=0=0=0=0=0,0.012=0.031=0.054=0.071=0.098=0.086=0.061=0.037=0.02=0.01,0=3.2=8=16=27.2=32=28.8=22.4=12.8=6.4,1,1,0.94,0.94,0.94,0.94,0.94,0.94,0.69,0.94,0.94,0.94,1,0.94,0.69,1,0.94,0.69,0.94,0.69,0.69,0.94,2,4,0,0,41.515,1.522,68.75,0.2812=0.5625=0.8438=1.1250=0.8438=0.5625=0.2812=0.1687=0.1687=0.1687,3.3750=6.7500=10.1250=13.5000=10.1250=6.7500=3.3750=2.7000=2.7000=2.7000,1.232=3.285=5.646=7.391=10.265=9.033=6.364=3.901=2.053=1.026,0
冲锋枪,一战,6,0.002,0.006,1,29.649,0.0300=0.0360=0.0420=0.0480=0.0540=0.0600=0.0540=0.0480=0.0420=0.0360,1.3770=1.6200=1.3770=1.1340=0.8910=0.8100=0.8100=0.8100=0.8100=0.8100,0.000,0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600=0.0600,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.036,0,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.7020=1.0800=0.7020=0.3240=0.2160=0.2160=0.2160=0.2160=0.2160=0.2160,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,0.372=0.711=1.049=1.388=1.692=1.608=1.388=1.049=0.711=0.372,0=0=0=0=0=0=0=0=0=0,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0=1.9=4.75=9.5=16.15=19=17.1=13.3=7.6=3.8,0.9,0.9,0.84,0.84,0.84,0.84,0.84,0.84,0.59,0.84,0.84,0.84,0.9,0.84,0.59,0.9,0.84,0.59,0.84,0.59,0.59,0.84,2,4,0,0,31.372,0.252,15.00,0.0351=0.0540=0.0351=0.0162=0.0081=0.0081=0.0081=0.0081=0.0081=0.0081,2.2815=3.5100=2.2815=1.0530=0.7020=0.7020=0.7020=0.7020=0.7020=0.7020,0.447=1.191=2.047=2.68=3.723=3.276=2.308=1.415=0.745=0.372,0
冲锋枪,二战,2.5,0.002,0.006,1,32.413,0.0500=0.0600=0.0700=0.0800=0.0900=0.1000=0.0900=0.0800=0.0700=0.0600,2.2950=2.7000=2.2950=1.8900=1.4850=1.3500=1.3500=1.3500=1.3500=1.3500,0.000,0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000=0.1000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.02,0,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,1.1700=1.8000=1.1700=0.5400=0.3600=0.3600=0.3600=0.3600=0.3600=0.3600,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,0.461=0.88=1.299=1.718=2.095=1.991=1.718=1.299=0.88=0.461,0=0=0=0=0=0=0=0=0=0,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0=2.3=5.75=11.5=19.55=23=20.7=16.1=9.2=4.6,0.92,0.92,0.86,0.86,0.86,0.86,0.86,0.86,0.61,0.86,0.86,0.86,0.92,0.86,0.61,0.92,0.86,0.61,0.86,0.61,0.61,0.86,2,4,0,0,33.071,0.420,25.00,0.0585=0.0900=0.0585=0.0270=0.0135=0.0135=0.0135=0.0135=0.0135=0.0135,3.8025=5.8500=3.8025=1.7550=1.1700=1.1700=1.1700=1.1700=1.1700=1.1700,0.553=1.475=2.535=3.319=4.61=4.057=2.858=1.752=0.922=0.461,0
冲锋枪,冷战,3,0.002,0.006,1,37.851,0.0750=0.0900=0.1050=0.1200=0.1350=0.1500=0.1350=0.1200=0.1050=0.0900,3.4425=4.0500=3.4425=2.8350=2.2275=2.0250=2.0250=2.0250=2.0250=2.0250,0.000,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.035,0,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,1.7550=2.7000=1.7550=0.8100=0.5400=0.5400=0.5400=0.5400=0.5400=0.5400,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,0.677=1.292=1.907=2.522=3.075=2.922=2.522=1.907=1.292=0.677,0=0=0=0=0=0=0=0=0=0,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0=2.7=6.75=13.5=22.95=27=24.3=18.9=10.8=5.4,0.956,0.956,0.896,0.896,0.896,0.896,0.896,0.896,0.646,0.896,0.896,0.896,0.956,0.896,0.646,0.956,0.896,0.646,0.896,0.646,0.646,0.896,2,4,0,0,36.719,0.630,37.50,0.0878=0.1350=0.0878=0.0405=0.0203=0.0203=0.0203=0.0203=0.0203=0.0203,5.7038=8.7750=5.7038=2.6325=1.7550=1.7550=1.7550=1.7550=1.7550=1.7550,0.812=2.165=3.721=4.871=6.766=5.954=4.195=2.571=1.353=0.677,0
冲锋枪,现代,6,0.002,0.006,1,44.649,0.1250=0.1500=0.1750=0.2000=0.2250=0.2500=0.2250=0.2000=0.1750=0.1500,5.7375=6.7500=5.7375=4.7250=3.7125=3.3750=3.3750=3.3750=3.3750=3.3750,0.000,0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500=0.2500,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.096,0.001,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,2.9250=4.5000=2.9250=1.3500=0.9000=0.9000=0.9000=0.9000=0.9000=0.9000,0.022=0.041=0.061=0.08=0.098=0.093=0.08=0.061=0.041=0.022,0.993=1.895=2.798=3.7=4.512=4.287=3.7=2.798=1.895=0.993,0=0=0=0=0=0=0=0=0=0,0.012=0.031=0.054=0.071=0.098=0.086=0.061=0.037=0.02=0.01,0=3.2=8=16=27.2=32=28.8=22.4=12.8=6.4,1,1,0.94,0.94,0.94,0.94,0.94,0.94,0.69,0.94,0.94,0.94,1,0.94,0.69,1,0.94,0.69,0.94,0.69,0.69,0.94,2,4,0,0,41.372,1.050,62.50,0.1463=0.2250=0.1463=0.0675=0.0338=0.0338=0.0338=0.0338=0.0338=0.0338,9.5062=14.6250=9.5062=4.3875=2.9250=2.9250=2.9250=2.9250=2.9250=2.9250,1.191=3.177=5.46=7.148=9.927=8.736=6.155=3.772=1.985=0.993,0
