武器种类,时代,成本,移动映射成本损耗/H,交战映射成本损耗/H,编制宽度,组织度,侦查（10阶段）,防御（10阶段）,装甲厚度,火控（10阶段）,电子干扰（10阶段）,电子抗性（10阶段）,燃料容量,燃料每轮消耗,对地友伤（10阶段）,对地命中（10阶段）,对地穿甲穿透（10阶段）,对地压制（10阶段）,对空命中（10阶段）,对空伤害（10阶段）,对空装甲穿透（不用设计就是0即可）,对海命中（10阶段）,对海装甲穿透（10阶段）,海洋适应性,平原适应性,城市适应性,丘陵适应性,森林适应性,丛林适应性,山地适应性,沙漠适应性,沼泽适应性,可通行冰面湖泊适应性,酷暑适应性,炎热适应性,温和适应性,严寒适应性,极寒适应性,晴朗适应性,小雨适应性,暴雨适应性,小雪适应性,暴风雪适应性,沙尘暴适应性,大雾适应性,人力占用,速度（km/h）,部队摩托化时卡车成本系数,部队非摩托化时卡车成本系数,血量,突破（10阶段）,堑壕防御,对地硬攻（10阶段）,对地软攻（10阶段）,对海伤害（10阶段）,武器定位
栓动步枪,一战,2.5,0.002,0.006,1,29.413,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,1.509=4.023=6.915=9.052=12.572=11.064=7.795=4.777=2.514=1.257,1.472,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0.015,0,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0.151=0.402=0.691=0.905=1.257=1.106=0.779=0.478=0.251=0.126,0.503=1.341=2.305=3.017=4.191=3.688=2.598=1.592=0.838=0.419,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,0.346=0.66=0.974=1.289=1.572=1.493=1.289=0.974=0.66=0.346,0=0=0=0=0=0=0=0=0=0,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0=1.9=4.75=9.5=16.15=19=17.1=13.3=7.6=3.8,0.9,0.9,0.84,0.84,0.84,0.84,0.84,0.84,0.59,0.84,0.84,0.84,0.9,0.84,0.59,0.9,0.84,0.59,0.84,0.59,0.59,0.84,2,4,0,0,31.071,1.006=2.682=4.61=6.035=8.381=7.376=5.197=3.185=1.676=0.838,25.5,0.151=0.402=0.691=0.905=1.257=1.106=0.779=0.478=0.251=0.126,0.503=1.341=2.305=3.017=4.191=3.688=2.598=1.592=0.838=0.419,0.415=1.106=1.902=2.489=3.457=3.042=2.144=1.314=0.691=0.346,0
栓动步枪,二战,2,0.002,0.006,1,32.374,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,1.986=5.296=9.103=11.916=16.55=14.564=10.261=6.289=3.31=1.655,1.959,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.016,0,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0.199=0.53=0.91=1.192=1.655=1.456=1.026=0.629=0.331=0.166,0.662=1.765=3.034=3.972=5.517=4.855=3.42=2.096=1.103=0.552,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,0.455=0.869=1.283=1.696=2.069=1.965=1.696=1.283=0.869=0.455,0=0=0=0=0=0=0=0=0=0,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0=2.3=5.75=11.5=19.55=23=20.7=16.1=9.2=4.6,0.92,0.92,0.86,0.86,0.86,0.86,0.86,0.86,0.61,0.86,0.86,0.86,0.92,0.86,0.61,0.92,0.86,0.61,0.86,0.61,0.61,0.86,2,4,0,0,33.022,1.324=3.531=6.068=7.944=11.033=9.709=6.841=4.193=2.207=1.103,28,0.199=0.53=0.91=1.192=1.655=1.456=1.026=0.629=0.331=0.166,0.662=1.765=3.034=3.972=5.517=4.855=3.42=2.096=1.103=0.552,0.546=1.456=2.503=3.277=4.551=4.005=2.822=1.729=0.91=0.455,0
栓动步枪,冷战,3,0.002,0.006,1,37.851,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,2.952=7.873=13.531=17.714=24.603=21.65=15.254=9.349=4.921=2.46,2.853,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,0.035,0,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0.295=0.787=1.353=1.771=2.46=2.165=1.525=0.935=0.492=0.246,0.984=2.624=4.51=5.905=8.201=7.217=5.085=3.116=1.64=0.82,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,0.677=1.292=1.907=2.522=3.075=2.922=2.522=1.907=1.292=0.677,0=0=0=0=0=0=0=0=0=0,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0=2.7=6.75=13.5=22.95=27=24.3=18.9=10.8=5.4,0.956,0.956,0.896,0.896,0.896,0.896,0.896,0.896,0.646,0.896,0.896,0.896,0.956,0.896,0.646,0.956,0.896,0.646,0.896,0.646,0.646,0.896,2,4,0,0,36.719,1.968=5.249=9.021=11.809=16.402=14.434=10.169=6.233=3.28=1.64,32.5,0.295=0.787=1.353=1.771=2.46=2.165=1.525=0.935=0.492=0.246,0.984=2.624=4.51=5.905=8.201=7.217=5.085=3.116=1.64=0.82,0.812=2.165=3.721=4.871=6.766=5.954=4.195=2.571=1.353=0.677,0
突击步枪,二战,5,0.002,0.006,1,32.587,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,2.126=5.668=9.742=12.753=17.713=15.588=10.982=6.731=3.543=1.771,1.982,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.04,0,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0.213=0.567=0.974=1.275=1.771=1.559=1.098=0.673=0.354=0.177,0.709=1.889=3.247=4.251=5.904=5.196=3.661=2.244=1.181=0.59,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,0.487=0.93=1.373=1.816=2.214=2.103=1.816=1.373=0.93=0.487,0=0=0=0=0=0=0=0=0=0,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0=2.3=5.75=11.5=19.55=23=20.7=16.1=9.2=4.6,0.92,0.92,0.86,0.86,0.86,0.86,0.86,0.86,0.61,0.86,0.86,0.86,0.92,0.86,0.61,0.92,0.86,0.61,0.86,0.61,0.61,0.86,2,4,0,0,33.293,1.417=3.779=6.495=8.502=11.809=10.392=7.321=4.487=2.362=1.181,28,0.213=0.567=0.974=1.275=1.771=1.559=1.098=0.673=0.354=0.177,0.709=1.889=3.247=4.251=5.904=5.196=3.661=2.244=1.181=0.59,0.585=1.559=2.679=3.507=4.871=4.287=3.02=1.851=0.974=0.487,0
突击步枪,冷战,4,0.002,0.006,1,37.921,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,3.02=8.052=13.839=18.117=25.163=22.143=15.601=9.562=5.033=2.516,2.864,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,0.046,0.001,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0.302=0.805=1.384=1.812=2.516=2.214=1.56=0.956=0.503=0.252,1.007=2.684=4.613=6.039=8.388=7.381=5.2=3.187=1.678=0.839,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,0.692=1.321=1.95=2.579=3.145=2.988=2.579=1.95=1.321=0.692,0=0=0=0=0=0=0=0=0=0,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0=2.7=6.75=13.5=22.95=27=24.3=18.9=10.8=5.4,0.956,0.956,0.896,0.896,0.896,0.896,0.896,0.896,0.646,0.896,0.896,0.896,0.956,0.896,0.646,0.956,0.896,0.646,0.896,0.646,0.646,0.896,2,4,0,0,36.809,2.013=5.368=9.226=12.078=16.775=14.762=10.401=6.375=3.355=1.678,32.5,0.302=0.805=1.384=1.812=2.516=2.214=1.56=0.956=0.503=0.252,1.007=2.684=4.613=6.039=8.388=7.381=5.2=3.187=1.678=0.839,0.83=2.214=3.806=4.982=6.92=6.089=4.29=2.629=1.384=0.692,0
突击步枪,现代,8,0.002,0.006,1,44.762,0.008=0.022=0.039=0.05=0.07=0.062=0.043=0.027=0.014=0.007,4.479=11.944=20.53=26.875=37.327=32.847=23.142=14.184=7.465=3.733,4.003,0.008=0.022=0.039=0.05=0.07=0.062=0.043=0.027=0.014=0.007,0.01=0.027=0.046=0.06=0.084=0.074=0.052=0.032=0.017=0.008,0.01=0.027=0.046=0.06=0.084=0.074=0.052=0.032=0.017=0.008,0.128,0.002,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.012=0.031=0.054=0.071=0.098=0.086=0.061=0.037=0.02=0.01,0.448=1.194=2.053=2.688=3.733=3.285=2.314=1.418=0.747=0.373,1.493=3.981=6.843=8.958=12.442=10.949=7.714=4.728=2.488=1.244,0.022=0.041=0.061=0.08=0.098=0.093=0.08=0.061=0.041=0.022,1.026=1.96=2.893=3.826=4.666=4.433=3.826=2.893=1.96=1.026,0=0=0=0=0=0=0=0=0=0,0.012=0.031=0.054=0.071=0.098=0.086=0.061=0.037=0.02=0.01,0=3.2=8=16=27.2=32=28.8=22.4=12.8=6.4,1,1,0.94,0.94,0.94,0.94,0.94,0.94,0.69,0.94,0.94,0.94,1,0.94,0.69,1,0.94,0.69,0.94,0.69,0.69,0.94,2,4,0,0,41.515,2.986=7.963=13.686=17.917=24.884=21.898=15.428=9.456=4.977=2.488,38,0.448=1.194=2.053=2.688=3.733=3.285=2.314=1.418=0.747=0.373,1.493=3.981=6.843=8.958=12.442=10.949=7.714=4.728=2.488=1.244,1.232=3.285=5.646=7.391=10.265=9.033=6.364=3.901=2.053=1.026,0
冲锋枪,一战,6,0.002,0.006,1,29.649,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,1.624=4.332=7.445=9.747=13.537=11.913=8.393=5.144=2.707=1.354,1.492,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0.036,0,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0.162=0.433=0.745=0.975=1.354=1.191=0.839=0.514=0.271=0.135,0.541=1.444=2.482=3.249=4.512=3.971=2.798=1.715=0.902=0.451,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,0.372=0.711=1.049=1.388=1.692=1.608=1.388=1.049=0.711=0.372,0=0=0=0=0=0=0=0=0=0,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0=1.9=4.75=9.5=16.15=19=17.1=13.3=7.6=3.8,0.9,0.9,0.84,0.84,0.84,0.84,0.84,0.84,0.59,0.84,0.84,0.84,0.9,0.84,0.59,0.9,0.84,0.59,0.84,0.59,0.59,0.84,2,4,0,0,31.372,1.083=2.888=4.964=6.498=9.025=7.942=5.595=3.429=1.805=0.902,25.5,0.162=0.433=0.745=0.975=1.354=1.191=0.839=0.514=0.271=0.135,0.541=1.444=2.482=3.249=4.512=3.971=2.798=1.715=0.902=0.451,0.447=1.191=2.047=2.68=3.723=3.276=2.308=1.415=0.745=0.372,0
冲锋枪,二战,2.5,0.002,0.006,1,32.413,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,2.012=5.364=9.22=12.069=16.763=14.751=10.393=6.37=3.353=1.676,1.963,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.02,0,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0.201=0.536=0.922=1.207=1.676=1.475=1.039=0.637=0.335=0.168,0.671=1.788=3.073=4.023=5.588=4.917=3.464=2.123=1.118=0.559,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,0.461=0.88=1.299=1.718=2.095=1.991=1.718=1.299=0.88=0.461,0=0=0=0=0=0=0=0=0=0,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0=2.3=5.75=11.5=19.55=23=20.7=16.1=9.2=4.6,0.92,0.92,0.86,0.86,0.86,0.86,0.86,0.86,0.61,0.86,0.86,0.86,0.92,0.86,0.61,0.92,0.86,0.61,0.86,0.61,0.61,0.86,2,4,0,0,33.071,1.341=3.576=6.146=8.046=11.175=9.834=6.929=4.247=2.235=1.118,28,0.201=0.536=0.922=1.207=1.676=1.475=1.039=0.637=0.335=0.168,0.671=1.788=3.073=4.023=5.588=4.917=3.464=2.123=1.118=0.559,0.553=1.475=2.535=3.319=4.61=4.057=2.858=1.752=0.922=0.461,0
冲锋枪,冷战,3,0.002,0.006,1,37.851,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,2.952=7.873=13.531=17.714=24.603=21.65=15.254=9.349=4.921=2.46,2.853,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,0.035,0,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0.295=0.787=1.353=1.771=2.46=2.165=1.525=0.935=0.492=0.246,0.984=2.624=4.51=5.905=8.201=7.217=5.085=3.116=1.64=0.82,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,0.677=1.292=1.907=2.522=3.075=2.922=2.522=1.907=1.292=0.677,0=0=0=0=0=0=0=0=0=0,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0=2.7=6.75=13.5=22.95=27=24.3=18.9=10.8=5.4,0.956,0.956,0.896,0.896,0.896,0.896,0.896,0.896,0.646,0.896,0.896,0.896,0.956,0.896,0.646,0.956,0.896,0.646,0.896,0.646,0.646,0.896,2,4,0,0,36.719,1.968=5.249=9.021=11.809=16.402=14.434=10.169=6.233=3.28=1.64,32.5,0.295=0.787=1.353=1.771=2.46=2.165=1.525=0.935=0.492=0.246,0.984=2.624=4.51=5.905=8.201=7.217=5.085=3.116=1.64=0.82,0.812=2.165=3.721=4.871=6.766=5.954=4.195=2.571=1.353=0.677,0
冲锋枪,现代,6,0.002,0.006,1,44.649,0.008=0.022=0.039=0.05=0.07=0.062=0.043=0.027=0.014=0.007,4.332=11.552=19.854=25.991=36.099=31.767=22.381=13.718=7.22=3.61,3.978,0.008=0.022=0.039=0.05=0.07=0.062=0.043=0.027=0.014=0.007,0.01=0.027=0.046=0.06=0.084=0.074=0.052=0.032=0.017=0.008,0.01=0.027=0.046=0.06=0.084=0.074=0.052=0.032=0.017=0.008,0.096,0.001,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.012=0.031=0.054=0.071=0.098=0.086=0.061=0.037=0.02=0.01,0.433=1.155=1.985=2.599=3.61=3.177=2.238=1.372=0.722=0.361,1.444=3.851=6.618=8.664=12.033=10.589=7.46=4.573=2.407=1.203,0.022=0.041=0.061=0.08=0.098=0.093=0.08=0.061=0.041=0.022,0.993=1.895=2.798=3.7=4.512=4.287=3.7=2.798=1.895=0.993,0=0=0=0=0=0=0=0=0=0,0.012=0.031=0.054=0.071=0.098=0.086=0.061=0.037=0.02=0.01,0=3.2=8=16=27.2=32=28.8=22.4=12.8=6.4,1,1,0.94,0.94,0.94,0.94,0.94,0.94,0.69,0.94,0.94,0.94,1,0.94,0.69,1,0.94,0.69,0.94,0.69,0.69,0.94,2,4,0,0,41.372,2.888=7.701=13.236=17.327=24.066=21.178=14.921=9.145=4.813=2.407,38,0.433=1.155=1.985=2.599=3.61=3.177=2.238=1.372=0.722=0.361,1.444=3.851=6.618=8.664=12.033=10.589=7.46=4.573=2.407=1.203,1.191=3.177=5.46=7.148=9.927=8.736=6.155=3.772=1.985=0.993,0
机枪,一战,20,0.002,0.006,2,30.25,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,1.919=5.118=8.797=11.516=15.994=14.075=9.916=6.078=3.199=1.599,1.541,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0.12,0.001,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0.192=0.512=0.88=1.152=1.599=1.407=0.992=0.608=0.32=0.16,0.64=1.706=2.932=3.839=5.331=4.692=3.305=2.026=1.066=0.533,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,0.44=0.84=1.24=1.639=1.999=1.899=1.639=1.24=0.84=0.44,0=0=0=0=0=0=0=0=0=0,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0=1.9=4.75=9.5=16.15=19=17.1=13.3=7.6=3.8,0.9,0.9,0.84,0.84,0.84,0.84,0.84,0.84,0.59,0.84,0.84,0.84,0.9,0.84,0.59,0.9,0.84,0.59,0.84,0.59,0.59,0.84,5,4,0,0,32.136,1.28=3.412=5.865=7.677=10.663=9.383=6.611=4.052=2.133=1.066,25.5,0.192=0.512=0.88=1.152=1.599=1.407=0.992=0.608=0.32=0.16,0.64=1.706=2.932=3.839=5.331=4.692=3.305=2.026=1.066=0.533,0.528=1.407=2.419=3.167=4.398=3.871=2.727=1.671=0.88=0.44,0
机枪,二战,15,0.002,0.006,2,33.075,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,2.445=6.52=11.206=14.67=20.375=17.93=12.633=7.743=4.075=2.038,2.036,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.12,0.001,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0.245=0.652=1.121=1.467=2.038=1.793=1.263=0.774=0.408=0.204,0.815=2.173=3.735=4.89=6.792=5.977=4.211=2.581=1.358=0.679,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,0.56=1.07=1.579=2.088=2.547=2.42=2.088=1.579=1.07=0.56,0=0=0=0=0=0=0=0=0=0,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0=2.3=5.75=11.5=19.55=23=20.7=16.1=9.2=4.6,0.92,0.92,0.86,0.86,0.86,0.86,0.86,0.86,0.61,0.86,0.86,0.86,0.92,0.86,0.61,0.92,0.86,0.61,0.86,0.61,0.61,0.86,5,4,0,0,33.914,1.63=4.347=7.471=9.78=13.584=11.953=8.422=5.162=2.717=1.358,28,0.245=0.652=1.121=1.467=2.038=1.793=1.263=0.774=0.408=0.204,0.815=2.173=3.735=4.89=6.792=5.977=4.211=2.581=1.358=0.679,0.672=1.793=3.082=4.034=5.603=4.931=3.474=2.129=1.121=0.56,0
