武器种类,时代,成本,移动映射成本损耗/H,交战映射成本损耗/H,编制宽度,组织度,侦查（10阶段）,防御（10阶段）,装甲厚度,火控（10阶段）,电子干扰（10阶段）,电子抗性（10阶段）,燃料容量,燃料每轮消耗,对地友伤（10阶段）,对地命中（10阶段）,对地穿甲穿透（10阶段）,对地压制（10阶段）,对空命中（10阶段）,对空伤害（10阶段）,对空装甲穿透（不用设计就是0即可）,对海命中（10阶段）,对海装甲穿透（10阶段）,海洋适应性,平原适应性,城市适应性,丘陵适应性,森林适应性,丛林适应性,山地适应性,沙漠适应性,沼泽适应性,可通行冰面湖泊适应性,酷暑适应性,炎热适应性,温和适应性,严寒适应性,极寒适应性,晴朗适应性,小雨适应性,暴雨适应性,小雪适应性,暴风雪适应性,沙尘暴适应性,大雾适应性,人力占用,速度（km/h）,结构值,浮力值,装甲类型,拦截,潜艇隐身（10阶段）,雷达强度（10阶段）,雷达半径(km),声呐强度（10阶段）,核动力能容量,核动力能每轮消耗,船只吨位(万吨),对地伤害（10阶段）,对地探测（10阶段）,轻炮对海伤害（10阶段）,重炮对海伤害（10阶段）,鱼雷对海伤害（10阶段）,导弹对海伤害（10阶段）,对潜伤害（10阶段）
护卫舰,一战,12000,0.002,0.005,2,35.975,0.0480=0.0660=0.0840=0.1020=0.1200=0.1020=0.0840=0.0660=0.0480=0.0300,9.6000=10.5600=13.4400=16.3200=19.2000=16.3200=13.4400=10.5600=9.6000=9.6000,6.0,0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900,0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120,0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300,27,0.324,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,2.89=5.518=8.146=10.774=13.139=12.482=10.774=8.146=5.518=2.89,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.978,0.978,0.918,0.918,0.918,0.918,0.918,0.918,0.668,0.918,0.918,0.918,0.978,0.918,0.668,0.978,0.918,0.668,0.918,0.668,0.668,0.918,2,45,96.0,113.4,0,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,0.08,1.4400=1.4400=1.4400=1.4400=1.4400=1.4400=1.4400=1.4400=1.4400=1.4400,0,1.4400=1.8000=3.6000=5.4000=7.2000=5.4000=3.6000=1.8000=1.4400=1.4400,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,2.1000=5.2500=10.5000=15.7500=21.0000=15.7500=10.5000=5.2500=2.1000=2.1000,12.0000=16.5000=21.0000=25.5000=30.0000=25.5000=21.0000=16.5000=12.0000=9.0000,1.0500=1.3125=2.6250=3.9375=5.2500=3.9375=2.6250=1.3125=1.0500=1.0500
护卫舰,二战,15000,0.002,0.005,2,39.188,0.0800=0.1100=0.1400=0.1700=0.2000=0.1700=0.1400=0.1100=0.0800=0.0500,16.0000=17.6000=22.4000=27.2000=32.0000=27.2000=22.4000=17.6000=16.0000=16.0000,10.0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,45,0.54,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,3.939=7.52=11.101=14.683=17.906=17.01=14.683=11.101=7.52=3.939,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.99,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.68,0.93,0.93,0.93,0.99,0.93,0.68,0.99,0.93,0.68,0.93,0.68,0.68,0.93,2,50,160.0,121.4,0,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,0.12,2.4000=2.4000=2.4000=2.4000=2.4000=2.4000=2.4000=2.4000=2.4000=2.4000,0,2.4000=3.0000=6.0000=9.0000=12.0000=9.0000=6.0000=3.0000=2.4000=2.4000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,3.5000=8.7500=17.5000=26.2500=35.0000=26.2500=17.5000=8.7500=3.5000=3.5000,20.0000=27.5000=35.0000=42.5000=50.0000=42.5000=35.0000=27.5000=20.0000=15.0000,1.7500=2.1875=4.3750=6.5625=8.7500=6.5625=4.3750=2.1875=1.7500=1.7500
护卫舰,冷战,60000,0.002,0.005,2,45.912,0.1200=0.1650=0.2100=0.2550=0.3000=0.2550=0.2100=0.1650=0.1200=0.0750,24.0000=26.4000=33.6000=40.8000=48.0000=40.8000=33.6000=26.4000=24.0000=24.0000,15.0,0.2250=0.2250=0.2250=0.2250=0.2250=0.2250=0.2250=0.2250=0.2250=0.2250,0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,261,3.132,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,6.48=12.371=18.261=24.152=29.454=27.981=24.152=18.261=12.371=6.48,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,1,1,0.952,0.952,0.952,0.952,0.952,0.952,0.702,0.952,0.952,0.952,1,0.952,0.702,1,0.952,0.702,0.952,0.702,0.702,0.952,2,55,240.0,140.3,0,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,0.25,3.6000=3.6000=3.6000=3.6000=3.6000=3.6000=3.6000=3.6000=3.6000=3.6000,0,3.6000=4.5000=9.0000=13.5000=18.0000=13.5000=9.0000=4.5000=3.6000=3.6000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,5.2500=13.1250=26.2500=39.3750=52.5000=39.3750=26.2500=13.1250=5.2500=5.2500,30.0000=41.2500=52.5000=63.7500=75.0000=63.7500=52.5000=41.2500=30.0000=22.5000,2.6250=3.2812=6.5625=9.8438=13.1250=9.8438=6.5625=3.2812=2.6250=2.6250
护卫舰,现代,150000,0.002,0.005,2,53.387,0.2000=0.2750=0.3500=0.4250=0.5000=0.4250=0.3500=0.2750=0.2000=0.1250,40.0000=44.0000=56.0000=68.0000=80.0000=68.0000=56.0000=44.0000=40.0000=40.0000,25.0,0.3750=0.3750=0.3750=0.3750=0.3750=0.3750=0.3750=0.3750=0.3750=0.3750,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,9,0.108,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.022=0.041=0.061=0.08=0.098=0.093=0.08=0.061=0.041=0.022,9.638=18.4=27.162=35.923=43.809=41.619=35.923=27.162=18.4=9.638,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,1,1,0.98,0.98,0.98,0.98,0.98,0.98,0.73,0.98,0.98,0.98,1,0.98,0.73,1,0.98,0.73,0.98,0.73,0.73,0.98,2,60,400.0,159.8,0,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,0.4,6.0000=6.0000=6.0000=6.0000=6.0000=6.0000=6.0000=6.0000=6.0000=6.0000,0,6.0000=7.5000=15.0000=22.5000=30.0000=22.5000=15.0000=7.5000=6.0000=6.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,8.7500=21.8750=43.7500=65.6250=87.5000=65.6250=43.7500=21.8750=8.7500=8.7500,50.0000=68.7500=87.5000=106.2500=125.0000=106.2500=87.5000=68.7500=50.0000=37.5000,4.3750=5.4688=10.9375=16.4062=21.8750=16.4062=10.9375=5.4688=4.3750=4.3750
驱逐舰,一战,20000,0.002,0.005,4,36.463,0.0960=0.1320=0.1680=0.2040=0.2400=0.2040=0.1680=0.1320=0.0960=0.0600,24.0000=26.4000=33.6000=40.8000=48.0000=40.8000=33.6000=26.4000=24.0000=24.0000,12.0,0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900=0.0900,0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120,0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300,45,0.54,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,3.037=5.798=8.558=11.319=13.804=13.114=11.319=8.558=5.798=3.037,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,2.1600=2.7000=5.4000=8.1000=10.8000=8.1000=5.4000=2.7000=2.1600=2.1600,0.978,0.978,0.918,0.918,0.918,0.918,0.918,0.918,0.668,0.918,0.918,0.918,0.978,0.918,0.668,0.978,0.918,0.668,0.918,0.668,0.668,0.918,5,65,240.0,115.7,0,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,0.15,4.3200=4.3200=4.3200=4.3200=4.3200=4.3200=4.3200=4.3200=4.3200=4.3200,0,4.3200=5.4000=10.8000=16.2000=21.6000=16.2000=10.8000=5.4000=4.3200=4.3200,2.1600=2.7000=5.4000=8.1000=10.8000=8.1000=5.4000=2.7000=2.1600=2.1600,16.8000=42.0000=84.0000=126.0000=168.0000=126.0000=84.0000=42.0000=16.8000=16.8000,12.0000=16.5000=21.0000=25.5000=30.0000=25.5000=21.0000=16.5000=12.0000=9.0000,33.6000=42.0000=84.0000=126.0000=168.0000=126.0000=84.0000=42.0000=33.6000=33.6000
驱逐舰,二战,25000,0.002,0.005,4,39.676,0.1600=0.2200=0.2800=0.3400=0.4000=0.3400=0.2800=0.2200=0.1600=0.1000,40.0000=44.0000=56.0000=68.0000=80.0000=68.0000=56.0000=44.0000=40.0000=40.0000,20.0,0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500=0.1500,0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,75,0.9,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,4.134=7.893=11.651=15.41=18.792=17.853=15.41=11.651=7.893=4.134,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,3.6000=4.5000=9.0000=13.5000=18.0000=13.5000=9.0000=4.5000=3.6000=3.6000,0.99,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.68,0.93,0.93,0.93,0.99,0.93,0.68,0.99,0.93,0.68,0.93,0.68,0.68,0.93,5,70,400.0,123.7,0,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,0.25,7.2000=7.2000=7.2000=7.2000=7.2000=7.2000=7.2000=7.2000=7.2000=7.2000,0,7.2000=9.0000=18.0000=27.0000=36.0000=27.0000=18.0000=9.0000=7.2000=7.2000,3.6000=4.5000=9.0000=13.5000=18.0000=13.5000=9.0000=4.5000=3.6000=3.6000,28.0000=70.0000=140.0000=210.0000=280.0000=210.0000=140.0000=70.0000=28.0000=28.0000,20.0000=27.5000=35.0000=42.5000=50.0000=42.5000=35.0000=27.5000=20.0000=15.0000,56.0000=70.0000=140.0000=210.0000=280.0000=210.0000=140.0000=70.0000=56.0000=56.0000
驱逐舰,冷战,120000,0.002,0.005,4,46.574,0.2400=0.3300=0.4200=0.5100=0.6000=0.5100=0.4200=0.3300=0.2400=0.1500,60.0000=66.0000=84.0000=102.0000=120.0000=102.0000=84.0000=66.0000=60.0000=60.0000,30.0,0.2250=0.2250=0.2250=0.2250=0.2250=0.2250=0.2250=0.2250=0.2250=0.2250,0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300,0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750=0.0750,522,6.264,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,6.864=13.104=19.344=25.584=31.199=29.639=25.584=19.344=13.104=6.864,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,5.4000=6.7500=13.5000=20.2500=27.0000=20.2500=13.5000=6.7500=5.4000=5.4000,1,1,0.952,0.952,0.952,0.952,0.952,0.952,0.702,0.952,0.952,0.952,1,0.952,0.702,1,0.952,0.702,0.952,0.702,0.702,0.952,5,75,600.0,143.4,0,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,0.45,10.8000=10.8000=10.8000=10.8000=10.8000=10.8000=10.8000=10.8000=10.8000=10.8000,0,10.8000=13.5000=27.0000=40.5000=54.0000=40.5000=27.0000=13.5000=10.8000=10.8000,5.4000=6.7500=13.5000=20.2500=27.0000=20.2500=13.5000=6.7500=5.4000=5.4000,42.0000=105.0000=210.0000=315.0000=420.0000=315.0000=210.0000=105.0000=42.0000=42.0000,30.0000=41.2500=52.5000=63.7500=75.0000=63.7500=52.5000=41.2500=30.0000=22.5000,84.0000=105.0000=210.0000=315.0000=420.0000=315.0000=210.0000=105.0000=84.0000=84.0000
驱逐舰,现代,350000,0.002,0.005,4,54.197,0.4000=0.5500=0.7000=0.8500=1.0000=0.8500=0.7000=0.5500=0.4000=0.2500,100.0000=110.0000=140.0000=170.0000=200.0000=170.0000=140.0000=110.0000=100.0000=100.0000,50.0,0.3750=0.3750=0.3750=0.3750=0.3750=0.3750=0.3750=0.3750=0.3750=0.3750,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250=0.1250,21,0.252,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.022=0.041=0.061=0.08=0.098=0.093=0.08=0.061=0.041=0.022,10.286=19.636=28.987=38.337=46.753=44.415=38.337=28.987=19.636=10.286,0=0=0=0=0=0=0=0=0=0,0.3000=0.3000=0.4500=0.6000=0.7500=0.6000=0.4500=0.3000=0.3000=0.3000,9.0000=11.2500=22.5000=33.7500=45.0000=33.7500=22.5000=11.2500=9.0000=9.0000,1,1,0.98,0.98,0.98,0.98,0.98,0.98,0.73,0.98,0.98,0.98,1,0.98,0.73,1,0.98,0.73,0.98,0.73,0.73,0.98,5,80,1000.0,163.7,0,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,0.8,18.0000=18.0000=18.0000=18.0000=18.0000=18.0000=18.0000=18.0000=18.0000=18.0000,0,18.0000=22.5000=45.0000=67.5000=90.0000=67.5000=45.0000=22.5000=18.0000=18.0000,9.0000=11.2500=22.5000=33.7500=45.0000=33.7500=22.5000=11.2500=9.0000=9.0000,70.0000=175.0000=350.0000=525.0000=700.0000=525.0000=350.0000=175.0000=70.0000=70.0000,50.0000=68.7500=87.5000=106.2500=125.0000=106.2500=87.5000=68.7500=50.0000=37.5000,140.0000=175.0000=350.0000=525.0000=700.0000=525.0000=350.0000=175.0000=140.0000=140.0000
轻型巡洋舰,一战,45000,0.002,0.005,8,37.237,0.1920=0.2640=0.3360=0.4080=0.4800=0.4080=0.3360=0.2640=0.1920=0.1200,72.0000=79.2000=100.8000=122.4000=144.0000=122.4000=100.8000=79.2000=72.0000=72.0000,30.0,0.0780=0.0780=0.0780=0.0780=0.0780=0.0780=0.0780=0.0780=0.0780=0.0780,0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120=0.0120,0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300=0.0300,1012.5,12.15,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800=0.2800,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,3.269=6.241=9.213=12.185=14.86=14.117=12.185=9.213=6.241=3.269,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800=0.2800,7.2000=9.0000=18.0000=27.0000=36.0000=27.0000=18.0000=9.0000=7.2000=7.2000,0.978,0.978,0.918,0.918,0.918,0.918,0.918,0.918,0.668,0.918,0.918,0.918,0.978,0.918,0.668,0.978,0.918,0.668,0.918,0.668,0.668,0.918,11,55,960.0,119.4,0,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,0.5,11.5200=11.5200=11.5200=11.5200=11.5200=11.5200=11.5200=11.5200=11.5200=11.5200,0,11.5200=14.4000=28.8000=43.2000=57.6000=43.2000=28.8000=14.4000=11.5200=11.5200,7.2000=9.0000=18.0000=27.0000=36.0000=27.0000=18.0000=9.0000=7.2000=7.2000,25.2000=63.0000=126.0000=189.0000=252.0000=189.0000=126.0000=63.0000=25.2000=25.2000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,37.8000=47.2500=94.5000=141.7500=189.0000=141.7500=94.5000=47.2500=37.8000=37.8000
轻型巡洋舰,二战,60000,0.002,0.005,8,40.512,0.3200=0.4400=0.5600=0.6800=0.8000=0.6800=0.5600=0.4400=0.3200=0.2000,120.0000=132.0000=168.0000=204.0000=240.0000=204.0000=168.0000=132.0000=120.0000=120.0000,50.0,0.1300=0.1300=0.1300=0.1300=0.1300=0.1300=0.1300=0.1300=0.1300=0.1300,0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200=0.0200,0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500=0.0500,18,0.216,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800=0.2800,0=0=0=0=0=0=0=0=0=0,0=0=0=0=0=0=0=0=0=0,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,4.469=8.531=12.594=16.657=20.313=19.297=16.657=12.594=8.531=4.469,0=0=0=0=0=0=0=0=0=0,0.2800=0.2800=0.4200=0.5600=0.7000=0.5600=0.4200=0.2800=0.2800=0.2800,12.0000=15.0000=30.0000=45.0000=60.0000=45.0000=30.0000=15.0000=12.0000=12.0000,0.99,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.68,0.93,0.93,0.93,0.99,0.93,0.68,0.99,0.93,0.68,0.93,0.68,0.68,0.93,11,60,1600.0,127.7,0,0=0=0=0=0=0=0=0=0=0,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,0.000,0,0=0=0=0=0=0=0=0=0=0,0,0,0.8,19.2000=19.2000=19.2000=19.2000=19.2000=19.2000=19.2000=19.2000=19.2000=19.2000,0,19.2000=24.0000=48.0000=72.0000=96.0000=72.0000=48.0000=24.0000=19.2000=19.2000,12.0000=15.0000=30.0000=45.0000=60.0000=45.0000=30.0000=15.0000=12.0000=12.0000,42.0000=105.0000=210.0000=315.0000=420.0000=315.0000=210.0000=105.0000=42.0000=42.0000,0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000=0.0000,63.0000=78.7500=157.5000=236.2500=315.0000=236.2500=157.5000=78.7500=63.0000=63.0000
