武器种类,时代,成本,移动映射成本损耗/H,交战映射成本损耗/H,编制宽度,组织度,侦查（10阶段）,防御（10阶段）,装甲厚度,火控（10阶段）,电子干扰（10阶段）,电子抗性（10阶段）,燃料容量,燃料每轮消耗,对地友伤（10阶段）,对地命中（10阶段）,对地穿甲穿透（10阶段）,对地压制（10阶段）,对空命中（10阶段）,对空伤害（10阶段）,对空装甲穿透（不用设计就是0即可）,对海命中（10阶段）,对海装甲穿透（10阶段）,海洋适应性,平原适应性,城市适应性,丘陵适应性,森林适应性,丛林适应性,山地适应性,沙漠适应性,沼泽适应性,可通行冰面湖泊适应性,酷暑适应性,炎热适应性,温和适应性,严寒适应性,极寒适应性,晴朗适应性,小雨适应性,暴雨适应性,小雪适应性,暴风雪适应性,沙尘暴适应性,大雾适应性,人力占用,速度（km/h）,结构值,浮力值,装甲类型,拦截,潜艇隐身（10阶段）,雷达强度（10阶段）,雷达半径(km),声呐强度（10阶段）,核动力能容量,核动力能每轮消耗,船只吨位(万吨),对地伤害（10阶段）,对地探测（10阶段）,轻炮对海伤害（10阶段）,重炮对海伤害（10阶段）,鱼雷对海伤害（10阶段）,导弹对海伤害（10阶段）,对潜伤害（10阶段）
护卫舰,一战,12000,0.002,0.005,2,35.975,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,3.153=8.409=14.452=18.92=26.277=23.124=16.292=9.985=5.255=2.628,32.149,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,27,0.324,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,1.971=5.255=9.033=11.825=16.423=14.452=10.182=6.241=3.285=1.642,0.985=2.628=4.516=5.912=8.212=7.226=5.091=3.12=1.642=0.821,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,2.89=5.518=8.146=10.774=13.139=12.482=10.774=8.146=5.518=2.89,0=0=0=0=0=0=0=0=0=0,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0=1.9=4.75=9.5=16.15=19=17.1=13.3=7.6=3.8,0.978,0.978,0.918,0.918,0.918,0.918,0.918,0.918,0.668,0.918,0.918,0.918,0.978,0.918,0.668,0.978,0.918,0.668,0.918,0.668,0.668,0.918,2,45,56.714,113.428,0,0.16,0=0.001=0.003=0.005=0.011=0.018=0.025=0.026=0.024=0.018,0.002=0.004=0.01=0.017=0.025=0.032=0.028=0.022=0.014=0.007,140,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0,0,0.08,0.985=2.628=4.516=5.912=8.212=7.226=5.091=3.12=1.642=0.821,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,0.867=2.312=3.974=5.203=7.226=6.359=4.48=2.746=1.445=0.723,0.788=1.892=5.045=8.671=12.613=15.766=14.19=11.036=7.095=3.469,1.971=5.255=9.033=11.825=16.423=14.452=10.182=6.241=3.285=1.642,0.887=2.128=5.676=9.755=14.19=17.737=15.963=12.416=7.982=3.902,0.946=2.523=4.336=5.676=7.883=6.937=4.888=2.996=1.577=0.788
护卫舰,二战,15000,0.002,0.005,2,39.188,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,4.297=11.46=19.696=25.784=35.811=31.514=22.203=13.608=7.162=3.581,43.237,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,45,0.54,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,2.686=7.162=12.31=16.115=22.382=19.696=13.877=8.505=4.476=2.238,1.343=3.581=6.155=8.057=11.191=9.848=6.938=4.253=2.238=1.119,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,3.939=7.52=11.101=14.683=17.906=17.01=14.683=11.101=7.52=3.939,0=0=0=0=0=0=0=0=0=0,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0=2.3=5.75=11.5=19.55=23=20.7=16.1=9.2=4.6,0.99,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.68,0.93,0.93,0.93,0.99,0.93,0.68,0.99,0.93,0.68,0.93,0.68,0.68,0.93,2,50,60.717,121.434,0,0.17,0=0.001=0.004=0.007=0.014=0.024=0.033=0.035=0.032=0.024,0.002=0.005=0.013=0.023=0.034=0.042=0.038=0.029=0.019=0.009,174,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0,0,0.12,1.343=3.581=6.155=8.057=11.191=9.848=6.938=4.253=2.238=1.119,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,1.182=3.151=5.416=7.091=9.848=8.666=6.106=3.742=1.97=0.985,1.074=2.578=6.876=11.818=17.189=21.487=19.338=15.041=9.669=4.727,2.686=7.162=12.31=16.115=22.382=19.696=13.877=8.505=4.476=2.238,1.209=2.901=7.735=13.295=19.338=24.172=21.755=16.921=10.878=5.318,1.289=3.438=5.909=7.735=10.743=9.454=6.661=4.082=2.149=1.074
护卫舰,冷战,60000,0.002,0.005,2,45.912,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,7.069=18.85=32.399=42.413=58.907=51.839=36.523=22.385=11.781=5.891,66.045,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,261,3.132,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,4.418=11.781=20.249=26.508=36.817=32.399=22.827=13.991=7.363=3.682,2.209=5.891=10.125=13.254=18.409=16.2=11.413=6.995=3.682=1.841,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,6.48=12.371=18.261=24.152=29.454=27.981=24.152=18.261=12.371=6.48,0=0=0=0=0=0=0=0=0=0,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0=2.7=6.75=13.5=22.95=27=24.3=18.9=10.8=5.4,1,1,0.952,0.952,0.952,0.952,0.952,0.952,0.702,0.952,0.952,0.952,1,0.952,0.702,1,0.952,0.702,0.952,0.702,0.702,0.952,2,55,70.147,140.294,0,0.188,0=0.002=0.005=0.01=0.02=0.036=0.048=0.051=0.046=0.036,0.003=0.007=0.019=0.033=0.049=0.061=0.055=0.043=0.027=0.013,208,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,0,0,0.25,2.209=5.891=10.125=13.254=18.409=16.2=11.413=6.995=3.682=1.841,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,1.944=5.184=8.91=11.664=16.2=14.256=10.044=6.156=3.24=1.62,1.767=4.241=11.31=19.439=28.276=35.344=31.81=24.741=15.905=7.776,4.418=11.781=20.249=26.508=36.817=32.399=22.827=13.991=7.363=3.682,1.988=4.771=12.724=21.869=31.81=39.762=35.786=27.834=17.893=8.748,2.121=5.655=9.72=12.724=17.672=15.552=10.957=6.715=3.534=1.767
护卫舰,现代,150000,0.002,0.005,2,53.387,0.008=0.022=0.039=0.05=0.07=0.062=0.043=0.027=0.014=0.007,10.514=28.038=48.19=63.085=87.618=77.104=54.323=33.295=17.524=8.762,94.153,0.008=0.022=0.039=0.05=0.07=0.062=0.043=0.027=0.014=0.007,0.01=0.027=0.046=0.06=0.084=0.074=0.052=0.032=0.017=0.008,0.01=0.027=0.046=0.06=0.084=0.074=0.052=0.032=0.017=0.008,9,0.108,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.012=0.031=0.054=0.071=0.098=0.086=0.061=0.037=0.02=0.01,6.571=17.524=30.119=39.428=54.761=48.19=33.952=20.809=10.952=5.476,3.286=8.762=15.059=19.714=27.381=24.095=16.976=10.405=5.476=2.738,0.022=0.041=0.061=0.08=0.098=0.093=0.08=0.061=0.041=0.022,9.638=18.4=27.162=35.923=43.809=41.619=35.923=27.162=18.4=9.638,0=0=0=0=0=0=0=0=0=0,0.012=0.031=0.054=0.071=0.098=0.086=0.061=0.037=0.02=0.01,0=3.2=8=16=27.2=32=28.8=22.4=12.8=6.4,1,1,0.98,0.98,0.98,0.98,0.98,0.98,0.73,0.98,0.98,0.98,1,0.98,0.73,1,0.98,0.73,0.98,0.73,0.73,0.98,2,60,79.916,159.832,0,0.21,0=0.002=0.007=0.014=0.028=0.049=0.066=0.07=0.063=0.049,0.004=0.01=0.027=0.046=0.067=0.084=0.076=0.059=0.038=0.018,251,0.01=0.027=0.046=0.06=0.084=0.074=0.052=0.032=0.017=0.008,0,0,0.4,3.286=8.762=15.059=19.714=27.381=24.095=16.976=10.405=5.476=2.738,0.008=0.022=0.039=0.05=0.07=0.062=0.043=0.027=0.014=0.007,2.891=7.71=13.252=17.348=24.095=21.204=14.939=9.156=4.819=2.409,2.629=6.308=16.823=28.914=42.057=52.571=47.314=36.8=23.657=11.566,6.571=17.524=30.119=39.428=54.761=48.19=33.952=20.809=10.952=5.476,2.957=7.097=18.925=32.528=47.314=59.142=53.228=41.399=26.614=13.011,3.154=8.411=14.457=18.925=26.285=23.131=16.297=9.988=5.257=2.629
驱逐舰,一战,20000,0.002,0.005,4,36.463,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,3.313=8.834=15.184=19.877=27.607=24.295=17.117=10.491=5.521=2.761,43.034,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,45,0.54,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0.497=1.325=2.278=2.982=4.141=3.644=2.567=1.574=0.828=0.414,1.035=2.761=4.745=6.212=8.627=7.592=5.349=3.278=1.725=0.863,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,3.037=5.798=8.558=11.319=13.804=13.114=11.319=8.558=5.798=3.037,0=0=0=0=0=0=0=0=0=0,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0=1.9=4.75=9.5=16.15=19=17.1=13.3=7.6=3.8,0.978,0.978,0.918,0.918,0.918,0.918,0.918,0.918,0.668,0.918,0.918,0.918,0.978,0.918,0.668,0.978,0.918,0.668,0.918,0.668,0.668,0.918,5,65,57.866,115.732,0,0.16,0=0.001=0.003=0.005=0.011=0.018=0.025=0.026=0.024=0.018,0.002=0.004=0.01=0.017=0.025=0.032=0.028=0.022=0.014=0.007,140,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0,0,0.15,1.035=2.761=4.745=6.212=8.627=7.592=5.349=3.278=1.725=0.863,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,0.911=2.429=4.176=5.466=7.592=6.681=4.707=2.885=1.518=0.759,0.828=1.988=5.301=9.11=13.252=16.564=14.908=11.595=7.454=3.644,2.071=5.521=9.49=12.423=17.255=15.184=10.698=6.557=3.451=1.725,0.932=2.236=5.963=10.249=14.908=18.635=16.772=13.045=8.386=4.1,0.994=2.65=4.555=5.963=8.282=7.288=5.135=3.147=1.656=0.828
驱逐舰,二战,25000,0.002,0.005,4,39.676,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,4.51=12.027=20.672=27.061=37.585=33.075=23.303=14.282=7.517=3.758,57.866,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,75,0.9,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0.677=1.804=3.101=4.059=5.638=4.961=3.495=2.142=1.128=0.564,1.409=3.758=6.46=8.457=11.745=10.336=7.282=4.463=2.349=1.175,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,4.134=7.893=11.651=15.41=18.792=17.853=15.41=11.651=7.893=4.134,0=0=0=0=0=0=0=0=0=0,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0=2.3=5.75=11.5=19.55=23=20.7=16.1=9.2=4.6,0.99,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.68,0.93,0.93,0.93,0.99,0.93,0.68,0.99,0.93,0.68,0.93,0.68,0.68,0.93,5,70,61.87,123.74,0,0.17,0=0.001=0.004=0.007=0.014=0.024=0.033=0.035=0.032=0.024,0.002=0.005=0.013=0.023=0.034=0.042=0.038=0.029=0.019=0.009,174,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0,0,0.25,1.409=3.758=6.46=8.457=11.745=10.336=7.282=4.463=2.349=1.175,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,1.24=3.307=5.685=7.442=10.336=9.096=6.408=3.928=2.067=1.034,1.128=2.706=7.216=12.403=18.041=22.551=20.296=15.786=10.148=4.961,2.819=7.517=12.92=16.913=23.491=20.672=14.564=8.926=4.698=2.349,1.268=3.044=8.118=13.953=20.296=25.37=22.833=17.759=11.416=5.581,1.353=3.608=6.202=8.118=11.275=9.922=6.991=4.285=2.255=1.128
驱逐舰,冷战,120000,0.002,0.005,4,46.574,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,7.488=19.968=34.319=44.927=62.399=54.911=38.687=23.712=12.48=6.24,88.884,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,522,6.264,0.001=0.003=0.009=0.016=0.023=0.029=0.026=0.02=0.013=0.006,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,1.123=2.995=5.148=6.739=9.36=8.237=5.803=3.557=1.872=0.936,2.34=6.24=10.725=14.04=19.5=17.16=12.09=7.41=3.9=1.95,0.016=0.03=0.044=0.058=0.071=0.067=0.058=0.044=0.03=0.016,6.864=13.104=19.344=25.584=31.199=29.639=25.584=19.344=13.104=6.864,0=0=0=0=0=0=0=0=0=0,0.009=0.023=0.039=0.051=0.071=0.063=0.044=0.027=0.014=0.007,0=2.7=6.75=13.5=22.95=27=24.3=18.9=10.8=5.4,1,1,0.952,0.952,0.952,0.952,0.952,0.952,0.702,0.952,0.952,0.952,1,0.952,0.702,1,0.952,0.702,0.952,0.702,0.702,0.952,5,75,71.712,143.424,0,0.188,0=0.002=0.005=0.01=0.02=0.036=0.048=0.051=0.046=0.036,0.003=0.007=0.019=0.033=0.049=0.061=0.055=0.043=0.027=0.013,208,0.007=0.019=0.033=0.044=0.061=0.054=0.038=0.023=0.012=0.006,0,0,0.45,2.34=6.24=10.725=14.04=19.5=17.16=12.09=7.41=3.9=1.95,0.006=0.016=0.028=0.037=0.051=0.045=0.031=0.019=0.01=0.005,2.059=5.491=9.438=12.355=17.16=15.101=10.639=6.521=3.432=1.716,1.872=4.493=11.981=20.592=29.951=37.439=33.695=26.208=16.848=8.237,4.68=12.48=21.45=28.08=38.999=34.319=24.18=14.82=7.8=3.9,2.106=5.054=13.478=23.166=33.695=42.119=37.907=29.483=18.954=9.266,2.246=5.99=10.296=13.478=18.72=16.473=11.606=7.113=3.744=1.872
驱逐舰,现代,350000,0.002,0.005,4,54.197,0.008=0.022=0.039=0.05=0.07=0.062=0.043=0.027=0.014=0.007,11.221=29.922=51.428=67.324=93.505=82.285=57.973=35.532=18.701=9.351,127.284,0.008=0.022=0.039=0.05=0.07=0.062=0.043=0.027=0.014=0.007,0.01=0.027=0.046=0.06=0.084=0.074=0.052=0.032=0.017=0.008,0.01=0.027=0.046=0.06=0.084=0.074=0.052=0.032=0.017=0.008,21,0.252,0.002=0.005=0.013=0.022=0.032=0.04=0.036=0.028=0.018=0.009,0.012=0.031=0.054=0.071=0.098=0.086=0.061=0.037=0.02=0.01,1.683=4.488=7.714=10.099=14.026=12.343=8.696=5.33=2.805=1.403,3.506=9.351=16.071=21.039=29.22=25.714=18.117=11.104=5.844=2.922,0.022=0.041=0.061=0.08=0.098=0.093=0.08=0.061=0.041=0.022,10.286=19.636=28.987=38.337=46.753=44.415=38.337=28.987=19.636=10.286,0=0=0=0=0=0=0=0=0=0,0.012=0.031=0.054=0.071=0.098=0.086=0.061=0.037=0.02=0.01,0=3.2=8=16=27.2=32=28.8=22.4=12.8=6.4,1,1,0.98,0.98,0.98,0.98,0.98,0.98,0.73,0.98,0.98,0.98,1,0.98,0.73,1,0.98,0.73,0.98,0.73,0.73,0.98,5,80,81.829,163.658,0,0.21,0=0.002=0.007=0.014=0.028=0.049=0.066=0.07=0.063=0.049,0.004=0.01=0.027=0.046=0.067=0.084=0.076=0.059=0.038=0.018,251,0.01=0.027=0.046=0.06=0.084=0.074=0.052=0.032=0.017=0.008,0,0,0.8,3.506=9.351=16.071=21.039=29.22=25.714=18.117=11.104=5.844=2.922,0.008=0.022=0.039=0.05=0.07=0.062=0.043=0.027=0.014=0.007,3.086=8.228=14.143=18.514=25.714=22.628=15.943=9.771=5.143=2.571,2.805=6.732=17.953=30.857=44.883=56.103=50.493=39.272=25.246=12.343,7.013=18.701=32.142=42.077=58.441=51.428=36.233=22.208=11.688=5.844,3.156=7.574=20.197=34.714=50.493=63.116=56.804=44.181=28.402=13.886,3.366=8.977=15.428=20.197=28.052=24.685=17.392=10.66=5.61=2.805
轻型巡洋舰,一战,45000,0.002,0.005,8,37.237,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,3.566=9.51=16.346=21.398=29.72=26.153=18.426=11.294=5.944=2.972,63.378,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,1012.5,12.15,0.001=0.002=0.005=0.008=0.012=0.015=0.014=0.01=0.007=0.003,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0.535=1.427=2.452=3.21=4.458=3.923=2.764=1.694=0.892=0.446,1.114=2.972=5.108=6.687=9.287=8.173=5.758=3.529=1.857=0.929,0.008=0.015=0.023=0.03=0.037=0.035=0.03=0.023=0.015=0.008,3.269=6.241=9.213=12.185=14.86=14.117=12.185=9.213=6.241=3.269,0=0=0=0=0=0=0=0=0=0,0.004=0.012=0.02=0.026=0.037=0.032=0.023=0.014=0.007=0.004,0=1.9=4.75=9.5=16.15=19=17.1=13.3=7.6=3.8,0.978,0.978,0.918,0.918,0.918,0.918,0.918,0.918,0.668,0.918,0.918,0.918,0.978,0.918,0.668,0.978,0.918,0.668,0.918,0.668,0.668,0.918,11,55,59.697,119.394,1,0.11,0=0.001=0.003=0.005=0.011=0.018=0.025=0.026=0.024=0.018,0.002=0.004=0.01=0.017=0.025=0.032=0.028=0.022=0.014=0.007,140,0.004=0.01=0.017=0.023=0.032=0.028=0.02=0.012=0.006=0.003,0,0,0.5,1.114=2.972=5.108=6.687=9.287=8.173=5.758=3.529=1.857=0.929,0.003=0.008=0.014=0.019=0.026=0.023=0.016=0.01=0.005=0.003,0.981=2.615=4.495=5.885=8.173=7.192=5.067=3.106=1.635=0.817,0.892=2.14=5.706=9.808=14.266=17.832=16.049=12.482=8.024=3.923,2.229=5.944=10.216=13.374=18.575=16.346=11.516=7.058=3.715=1.857,1.003=2.407=6.419=11.033=16.049=20.061=18.055=14.043=9.027=4.413,1.07=2.853=4.904=6.419=8.916=7.846=5.528=3.388=1.783=0.892
轻型巡洋舰,二战,60000,0.002,0.005,8,40.512,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,4.875=13=22.344=29.251=40.626=35.751=25.188=15.438=8.125=4.063,85.403,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,18,0.216,0.001=0.002=0.006=0.011=0.016=0.02=0.018=0.014=0.009=0.004,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0.731=1.95=3.352=4.388=6.094=5.363=3.778=2.316=1.219=0.609,1.523=4.063=6.983=9.141=12.696=11.172=7.871=4.824=2.539=1.27,0.011=0.021=0.03=0.04=0.049=0.047=0.04=0.03=0.021=0.011,4.469=8.531=12.594=16.657=20.313=19.297=16.657=12.594=8.531=4.469,0=0=0=0=0=0=0=0=0=0,0.006=0.016=0.027=0.035=0.049=0.043=0.03=0.019=0.01=0.005,0=2.3=5.75=11.5=19.55=23=20.7=16.1=9.2=4.6,0.99,0.99,0.93,0.93,0.93,0.93,0.93,0.93,0.68,0.93,0.93,0.93,0.99,0.93,0.68,0.99,0.93,0.68,0.93,0.68,0.68,0.93,11,60,63.847,127.694,1,0.12,0=0.001=0.004=0.007=0.014=0.024=0.033=0.035=0.032=0.024,0.002=0.005=0.013=0.023=0.034=0.042=0.038=0.029=0.019=0.009,174,0.005=0.013=0.023=0.03=0.042=0.037=0.026=0.016=0.008=0.004,0,0,0.8,1.523=4.063=6.983=9.141=12.696=11.172=7.871=4.824=2.539=1.27,0.004=0.011=0.019=0.025=0.035=0.031=0.022=0.013=0.007=0.004,1.341=3.575=6.145=8.044=11.172=9.831=6.927=4.245=2.234=1.117,1.219=2.925=7.8=13.407=19.5=24.375=21.938=17.063=10.969=5.363,3.047=8.125=13.965=18.282=25.391=22.344=15.742=9.649=5.078=2.539,1.371=3.291=8.775=15.082=21.938=27.422=24.68=19.196=12.34=6.033,1.463=3.9=6.703=8.775=12.188=10.725=7.556=4.631=2.438=1.219
